Date,Close,Volume,Open,High,Low
10/28/2019, 30.06, 29893920, 30.5, 30.66, 29.75
10/25/2019, 30.3, 43837200, 30.87, 31.04, 29.92
10/24/2019, 30.75, 106271100, 31.86, 32.39, 30.51
10/23/2019, 38.83, 20530730, 38.99, 39.4499, 37.76
10/22/2019, 38.81, 13082860, 40.48, 40.48, 38.78
10/21/2019, 40.09, 9570554, 39.35, 40.29, 39.31
10/18/2019, 38.99, 12593950, 39.69, 39.91, 38.27
10/17/2019, 39.61, 7194894, 40.12, 40.1495, 39.41
10/16/2019, 39.91, 8413587, 40.01, 40.46, 39.595
10/15/2019, 40.28, 7751263, 39.56, 40.4, 39.35
10/14/2019, 39.78, 6460851, 40.32, 40.47, 39.47
10/11/2019, 40.36, 9283524, 39.89, 40.7, 39.805
10/10/2019, 39.54, 6831719, 39.34, 39.89, 39.26
10/09/2019, 39.5, 8077170, 39.99, 40.1, 39.22
10/08/2019, 39.7, 8003323, 40.412, 40.48, 39.67
10/07/2019, 40.8, 6614109, 40.24, 40.87, 40.06
10/04/2019, 40.36, 6321528, 40.36, 40.59, 39.83
10/03/2019, 40, 13662710, 39.59, 40.16, 38.61
10/02/2019, 39.7, 10182490, 40.12, 40.12, 39.25
10/01/2019, 40.25, 9471078, 41.32, 41.5654, 40.0304
09/30/2019, 41.2, 8116140, 41.46, 41.48, 40.815
09/27/2019, 41.35, 11941100, 42.5, 42.67, 40.61
09/26/2019, 42.44, 5996251, 42.38, 42.49, 41.72
09/25/2019, 42.5, 9829286, 41.51, 42.78, 41.18
09/24/2019, 41.42, 16367770, 43.71, 43.75, 41.06
09/23/2019, 43.38, 10022210, 43.29, 44.09, 42.85
09/20/2019, 43.23, 19430880, 43.16, 43.84, 42.94
09/19/2019, 42.93, 7420515, 43.19, 43.58, 42.68
09/18/2019, 43.24, 7866682, 43.21, 43.41, 42.39
09/17/2019, 43.24, 8702119, 42.9, 43.59, 42.88
09/16/2019, 42.76, 6187891, 42.4, 43.07, 42.19
09/13/2019, 42.63, 8059593, 43.15, 43.2, 42.33
09/12/2019, 43.2, 8251661, 43.76, 44.11, 43.11
09/11/2019, 43.25, 7861181, 43.55, 43.78, 43.05
09/10/2019, 43.25, 14040140, 43.9, 43.95, 42.51
09/09/2019, 44.26, 14547400, 45.6, 45.855, 43.84
09/06/2019, 45.42, 13108530, 45.22, 45.68, 44.56
09/05/2019, 45.3, 19355980, 43.78, 45.33, 43.62
09/04/2019, 43.36, 11590140, 42.49, 43.4, 42.11
09/03/2019, 41.96, 16176350, 42.38, 43.77, 41.64
08/30/2019, 42.65, 8866979, 42.7, 42.7, 41.9
08/29/2019, 42.49, 10605570, 42.25, 42.6531, 41.82
08/28/2019, 41.68, 10430500, 41.75, 42.195, 41.3
08/27/2019, 42.14, 16104780, 42.01, 42.69, 41.53
08/26/2019, 41.44, 6404899, 41.4, 41.48, 41
08/23/2019, 41, 14070410, 41.82, 42.69, 40.81
08/22/2019, 42.18, 8283589, 42.85, 43.08, 41.59
08/21/2019, 42.8, 12025060, 42.83, 43.28, 42.36
08/20/2019, 42.29, 11356680, 41.64, 42.85, 41.38
08/19/2019, 41.7, 10276540, 41.1, 41.88, 41.05
08/16/2019, 40.58, 7998824, 40.3, 40.65, 40.11
08/15/2019, 40.09, 12583110, 40.9, 41.05, 39.775
08/14/2019, 40.65, 11638680, 41.03, 41.2499, 40.39
08/13/2019, 41.81, 12567830, 40.41, 41.857, 40.38
08/12/2019, 40.48, 6934621, 41.1, 41.48, 40.3941
08/09/2019, 41.53, 11419630, 41.78, 41.97, 40.94
08/08/2019, 42.07, 14684640, 42.11, 42.35, 41.36
08/07/2019, 41.73, 15427590, 40.51, 41.9, 40.33
08/06/2019, 41.32, 15077880, 40.92, 41.64, 40.78
08/05/2019, 40.37, 23081000, 41.58, 42, 39.615
08/02/2019, 42.85, 20617170, 41.82, 43.04, 41.59
08/01/2019, 42.08, 22883640, 42.54, 43.48, 41.7236
07/31/2019, 42.31, 29745350, 41.08, 43.24, 41.01
07/30/2019, 41, 15670560, 41.08, 41.72, 40.82
07/29/2019, 41.5, 21170550, 41.5, 42.22, 40.9
07/26/2019, 41.52, 57527560, 40.07, 42.33, 40
