day,time,close,open,high,low,volume
2019.03.27,0:00,145.351,146.068,146.505,145.306,199325
2019.03.28,0:00,144.337,145.346,145.658,144.2,201658
2019.03.29,0:00,144.378,144.334,145.486,143.822,176396
2019.04.01,0:00,145.904,144.757,146.349,144.387,160161
2019.04.02,0:00,146.132,145.821,146.449,144.934,183630
2019.04.03,0:00,146.652,146.079,147.193,146.024,170858
2019.04.04,0:00,145.948,146.644,146.959,145.681,152668
2019.04.05,0:00,145.577,145.965,146.551,145.105,135776
2019.04.08,0:00,145.603,145.622,145.778,145.102,131453
2019.04.09,0:00,145.001,145.515,146.058,144.784,133256
2019.04.10,0:00,145.251,145.015,145.708,144.914,132082
2019.04.11,0:00,145.725,145.262,145.951,145.043,134501
2019.04.12,0:00,146.366,145.715,147.014,145.686,128234
2019.04.15,0:00,146.704,146.379,146.996,146.322,116500
2019.04.16,0:00,146.124,146.735,146.754,146.011,144273
2019.04.17,0:00,146.047,146.029,146.3,145.838,105830
2019.04.18,0:00,145.386,146.069,146.121,145.285,119414
2019.04.19,0:00,145.313,145.388,145.588,145.286,147424
2019.04.22,0:00,145.274,145.384,145.51,145.217,65108
2019.04.23,0:00,144.705,145.275,145.627,144.587,108279
2019.04.24,0:00,144.679,144.686,145.022,144.398,123137
2019.04.25,0:00,144.006,144.715,144.911,143.793,108325
2019.04.26,0:00,144.197,143.996,144.458,143.77,118142
2019.04.29,0:00,144.415,144.13,144.718,144.127,74585
2019.04.30,0:00,145.241,144.381,145.384,144.049,101724
2019.05.01,0:00,145.378,145.232,145.697,145.169,85603
2019.05.02,0:00,145.285,145.334,145.873,145.087,105007
2019.05.03,0:00,146.361,145.272,146.507,144.807,131494
2019.05.06,0:00,145.012,145.39,145.939,144.99,159517
2019.05.07,0:00,144.117,145.041,145.367,143.865,152435
2019.05.08,0:00,143.141,144.135,144.179,143.04,154535
2019.05.09,0:00,142.707,143.163,143.248,142.23,154177
2019.05.10,0:00,142.979,142.633,143.24,142.51,173844
2019.05.13,0:00,141.601,142.651,142.869,141.204,157700
2019.05.14,0:00,141.402,141.601,142.177,141.364,142350
2019.05.15,0:00,140.705,141.412,141.643,140.204,130150
2019.05.16,0:00,140.516,140.719,140.79,140.202,116691
2019.05.17,0:00,139.953,140.528,140.678,139.547,137852
2019.05.20,0:00,140.004,140.219,140.528,139.697,118530
2019.05.21,0:00,140.367,140.003,141.732,139.651,132291
2019.05.22,0:00,139.721,140.359,140.703,139.316,114759
2019.05.23,0:00,138.703,139.698,139.719,138.529,135464
2019.05.24,0:00,138.893,138.67,139.491,138.507,121346
2019.05.27,0:00,138.752,139.132,139.642,138.678,109708
2019.05.28,0:00,138.354,138.754,139.011,138.29,146128
2019.05.29,0:00,138.302,138.353,138.583,137.87,153767
2019.05.30,0:00,138.138,138.339,138.736,138.054,122958
2019.05.31,0:00,136.771,138.181,138.223,136.631,168226
2019.06.03,0:00,136.833,136.734,137.122,136.616,160735
2019.06.04,0:00,137.23,136.832,137.472,136.559,154477
2019.06.05,0:00,137.549,137.24,137.785,137.201,154115
2019.06.06,0:00,137.534,137.603,137.806,136.991,155209
2019.06.07,0:00,137.816,137.556,138.167,137.482,152261
2019.06.10,0:00,137.515,138.153,138.257,137.482,132005
2019.06.11,0:00,138.016,137.507,138.324,137.45,143538
2019.06.12,0:00,137.65,138.012,138.244,137.559,161463
2019.06.13,0:00,137.313,137.657,137.783,137.1,144838
2019.06.14,0:00,136.64,137.241,137.425,136.508,156881
2019.06.17,0:00,135.999,136.518,136.935,135.988,135949
2019.06.18,0:00,136.144,136.022,136.249,135.376,161514
2019.06.19,0:00,136.595,136.155,137.008,135.778,147818
2019.06.20,0:00,136.223,136.576,137.177,136.189,192273
2019.06.21,0:00,136.784,136.224,136.838,135.944,186517
2019.06.24,0:00,136.662,136.593,137.129,136.489,137408
2019.06.25,0:00,135.93,136.656,136.845,135.807,160838
2019.06.26,0:00,136.704,135.933,136.894,135.835,158772
2019.06.27,0:00,136.524,136.728,137.332,136.42,152406
2019.06.28,0:00,136.997,136.526,137.203,136.272,145871
2019.07.01,0:00,137.004,137.355,137.79,136.739,160482
2019.07.02,0:00,135.849,136.999,137.135,135.791,141111
2019.07.03,0:00,135.501,135.825,135.905,135.171,132042
2019.07.04,0:00,135.54,135.504,135.715,135.439,87100
2019.07.05,0:00,135.872,135.586,136.043,135.487,137366
2019.07.08,0:00,136,135.849,136.128,135.542,105770
2019.07.09,0:00,135.628,136.043,136.281,135.392,114374
2019.07.10,0:00,135.579,135.612,136.055,135.483,140336
2019.07.11,0:00,135.81,135.583,136.053,135.08,127961
2019.07.12,0:00,135.674,135.847,136.016,135.502,118435
2019.07.15,0:00,135.034,135.409,135.842,134.95,110322
2019.07.16,0:00,134.24,135.048,135.26,133.964,134422
2019.07.17,0:00,134.182,134.276,134.62,133.971,115621
2019.07.18,0:00,134.572,134.205,134.825,133.85,140841
2019.07.19,0:00,134.696,134.582,135.006,134.531,136012
2019.07.22,0:00,134.523,134.597,135.087,134.409,125652
2019.07.23,0:00,134.56,134.553,134.984,134.312,131707
2019.07.24,0:00,135.018,134.557,135.277,134.243,128650
2019.07.25,0:00,135.244,135.032,135.667,134.71,125252
2019.07.26,0:00,134.549,135.247,135.39,134.527,95479
2019.07.29,0:00,132.878,134.436,134.565,132.847,101315
2019.07.30,0:00,131.903,132.895,133.071,131.599,146489
2019.07.31,0:00,132.232,131.914,132.992,131.844,163771
2019.08.01,0:00,130.183,132.153,132.551,130.146,198062
2019.08.02,0:00,129.608,130.182,130.419,129.072,238378
2019.08.05,0:00,128.609,129.486,129.598,128.167,257320
2019.08.06,0:00,129.505,128.609,130.064,128.107,247973
2019.08.07,0:00,128.983,129.504,129.553,128.218,269524
2019.08.08,0:00,128.633,128.981,129.328,128.276,187248
2019.08.09,0:00,127.053,128.663,128.744,126.966,170521
2019.08.12,0:00,127.095,127.184,127.515,126.541,185109
2019.08.13,0:00,128.679,127.093,129.216,126.798,213863
2019.08.14,0:00,127.648,128.707,128.748,127.489,233480
2019.08.15,0:00,128.249,127.673,128.98,127.464,248275
2019.08.16,0:00,129.129,128.188,129.57,128.112,189169
2019.08.19,0:00,129.286,129.135,129.534,128.967,145416
2019.08.20,0:00,129.223,129.3,129.629,128.262,175285
2019.08.21,0:00,129.243,129.246,129.671,128.883,158033
2019.08.22,0:00,130.339,129.226,130.696,128.756,169489
2019.08.23,0:00,129.505,130.394,130.564,128.99,205360
2019.08.26,0:00,129.585,128.813,130.145,128.186,292569
2019.08.27,0:00,129.897,129.636,130.386,129.006,217626
2019.08.28,0:00,129.498,129.91,130.067,128.466,223377
2019.08.29,0:00,129.687,129.527,130.031,128.969,204754
2019.08.30,0:00,129.224,129.721,129.823,129.087,209599
2019.09.02,0:00,128.109,128.968,129.315,127.871,150714
2019.09.03,0:00,127.913,128.082,128.251,126.675,224317
2019.09.04,0:00,130.295,127.945,130.425,127.918,213641
2019.09.05,0:00,131.841,130.294,132.159,129.912,226938
2019.09.06,0:00,131.353,131.803,132.126,131.265,175320
2019.09.09,0:00,132.351,131.064,132.561,130.81,163911
2019.09.10,0:00,132.786,132.354,132.911,132.015,177563
2019.09.11,0:00,132.869,132.739,133.362,132.673,189978
2019.09.12,0:00,133.256,132.884,133.642,132.169,201881
2019.09.13,0:00,135.046,133.26,135.19,133.244,172250
2019.09.16,0:00,134.335,134.185,134.859,133.873,204484
2019.09.17,0:00,135.109,134.333,135.419,133.987,192668
2019.09.18,0:00,135.2,135.104,135.659,134.591,178550
2019.09.19,0:00,135.234,135.224,135.516,134.264,182294
2019.09.20,0:00,134.09,135.229,135.748,134.071,167200
2019.09.23,0:00,133.63,134.221,134.549,133.35,172646
2019.09.24,0:00,133.665,133.634,134.606,133.547,205298
2019.09.25,0:00,133.068,133.636,134.006,132.84,171448
2019.09.26,0:00,132.853,133.089,133.291,132.381,141223
2019.09.27,0:00,132.613,132.879,133.28,132.323,146297
2019.09.30,0:00,132.765,132.652,133.338,132.479,121209
2019.10.01,0:00,132.463,132.754,133.356,131.781,167013
2019.10.02,0:00,131.788,132.535,132.593,131.573,153339
2019.10.03,0:00,131.775,131.867,132.545,131.479,158618
2019.10.04,0:00,131.85,131.792,131.989,131.279,135275
2019.10.07,0:00,131.791,131.265,132.24,131.261,123113
2019.10.08,0:00,130.778,131.787,132.117,130.428,157655
2019.10.09,0:00,131.127,130.777,131.833,130.648,134128
2019.10.10,0:00,134.251,131.131,134.551,130.727,197390
2019.10.11,0:00,137.119,134.338,137.899,133.935,151799
2019.10.14,0:00,136.636,136.835,137.169,135.494,132848
2019.10.15,0:00,139.176,136.647,139.314,136.446,163737
2019.10.16,0:00,139.5,139.148,140.093,137.505,161529
2019.10.17,0:00,140.018,139.504,141.488,138.626,213146
2019.10.18,0:00,140.643,140.021,140.697,139.346,117057
2019.10.21,0:00,140.722,140.487,141.354,139.461,128126
2019.10.22,0:00,139.601,140.731,141.112,139.511,139900
2019.10.23,0:00,140.263,139.593,140.426,139.085,142890
2019.10.24,0:00,139.481,140.243,140.736,138.866,145516
2019.10.25,0:00,139.42,139.5,139.801,139.022,104251
2019.10.27,0:00,139.294,139.342,139.508,139.255,1053
2019.10.28,0:00,140.145,139.29,140.251,139.254,100209
2019.10.29,0:00,140.054,140.147,140.535,139.467,114019
2019.10.30,0:00,140.413,140.062,140.502,139.928,120399
2019.10.31,0:00,139.651,140.419,140.687,139.603,123626
2019.11.01,0:00,139.932,139.651,140.152,139.635,104735
2019.11.04,0:00,139.797,139.828,140.237,139.794,84747
2019.11.05,0:00,140.578,139.774,140.747,139.774,114210
2019.11.06,0:00,140.088,140.531,140.714,139.87,100443
2019.11.07,0:00,139.993,139.996,140.53,139.49,126704
2019.11.08,0:00,139.546,139.921,140.205,139.414,102332
2019.11.11,0:00,140.064,139.721,140.483,139.363,81737
2019.11.12,0:00,139.967,140.077,140.586,139.937,106024
2019.11.13,0:00,139.749,139.968,140.25,139.437,104545
2019.11.14,0:00,139.609,139.726,139.859,139.394,104051
2019.11.15,0:00,140.326,139.612,140.462,139.576,95211
2019.11.18,0:00,140.727,140.571,141.571,140.35,108382
2019.11.19,0:00,140.24,140.656,140.931,140.101,103660
2019.11.20,0:00,140.314,140.248,140.484,139.674,113815
2019.11.21,0:00,140.132,140.272,140.922,139.972,129882
2019.11.22,0:00,139.393,140.14,140.501,139.319,104600
2019.11.25,0:00,140.452,139.639,140.623,139.559,99394
2019.11.26,0:00,140.239,140.453,140.891,139.988,112561
2019.11.27,0:00,141.384,140.231,141.529,140.045,117937
2019.11.28,0:00,141.382,141.395,141.848,141.246,95002
2019.11.29,0:00,141.468,141.382,141.682,141.111,108777
2019.12.02,0:00,140.909,141.295,141.816,140.909,119956
2019.12.03,0:00,141.056,140.93,141.711,140.852,136088
2019.12.04,0:00,142.623,141.095,142.786,140.829,133824
2019.12.05,0:00,143.051,142.607,143.248,142.573,111288
2019.12.06,0:00,142.606,143.044,143.144,142.365,110404
2019.12.09,0:00,142.581,142.607,143.099,142.552,105157
2019.12.10,0:00,142.966,142.574,143.661,142.574,113756
2019.12.11,0:00,143.208,142.966,143.373,142.548,122773
2019.12.12,0:00,143.793,143.184,144.15,142.477,148207
2019.12.13,0:00,145.774,144.17,147.959,144.168,192413
